"","beta","HR (95% CI for HR)","wald.test","p.value"
"G1768","-0.34","0.71 (0.47-1.1)","2.6","0.11"
"G131578","0.49","1.6 (1.2-2.2)","9.1","0.0025"
"G54777","-0.27","0.77 (0.53-1.1)","2.1","0.15"
"G93010","0.82","2.3 (1.1-4.7)","4.9","0.027"
"G158506","-0.19","0.83 (0.54-1.3)","0.72","0.4"
"G9204","-1","0.35 (0.12-1.1)","3.4","0.066"
"G137868","0.16","1.2 (0.94-1.5)","2.1","0.15"
"G100507431","0.42","1.5 (1.1-2.2)","5","0.026"
"G7484","-0.087","0.92 (0.65-1.3)","0.25","0.62"
"G10695","1.3","3.6 (1.2-11)","5.4","0.021"
"G9522","-1","0.36 (0.14-0.95)","4.3","0.039"
"G151477","0.049","1.1 (0.85-1.3)","0.2","0.65"
"G3038","-0.084","0.92 (0.58-1.4)","0.13","0.72"
"G2249","0.51","1.7 (1-2.7)","3.9","0.048"
"G169026","-0.25","0.78 (0.44-1.4)","0.72","0.4"
"G142937","-0.32","0.72 (0.46-1.1)","2","0.15"
"G439933","-0.13","0.88 (0.65-1.2)","0.73","0.39"
"G160140","-0.18","0.84 (0.64-1.1)","1.5","0.22"
"G284418","-0.18","0.84 (0.43-1.6)","0.28","0.59"
"G120065","-0.12","0.89 (0.67-1.2)","0.7","0.4"
"G143241","-0.053","0.95 (0.81-1.1)","0.4","0.53"
"G246778","-0.063","0.94 (0.69-1.3)","0.16","0.69"
"G132141","0.14","1.2 (0.76-1.7)","0.47","0.49"
"G245938","-0.11","0.9 (0.67-1.2)","0.51","0.48"
"G280664","0.3","1.3 (1-1.8)","4.5","0.034"
"G245908","-0.3","0.74 (0.59-0.92)","7.2","0.0073"
"G504180","-0.3","0.74 (0.59-0.92)","7.2","0.0073"
"G5314","-0.44","0.64 (0.4-1)","3.3","0.068"
"G168507","-0.31","0.73 (0.53-1)","3.7","0.055"
"G139378","-0.2","0.82 (0.63-1.1)","2.5","0.11"
"G10178","-0.22","0.8 (0.54-1.2)","1.3","0.26"
"G254958","0.44","1.5 (0.92-2.6)","2.7","0.1"
"G138474","0.11","1.1 (0.76-1.6)","0.3","0.58"
"G129684","0.14","1.2 (0.77-1.7)","0.48","0.49"
"G9401","0.37","1.4 (1-2)","4.6","0.031"
"G165082","-0.13","0.88 (0.63-1.2)","0.63","0.43"
"G117532","0.26","1.3 (0.89-1.9)","1.9","0.17"
"G140771","-0.16","0.85 (0.67-1.1)","1.5","0.21"
"G23299","-0.34","0.71 (0.36-1.4)","0.89","0.35"
"G114026","0.078","1.1 (0.88-1.3)","0.56","0.46"
"G79400","0.47","1.6 (0.91-2.8)","2.7","0.1"
"G282706","0.12","1.1 (0.9-1.4)","1.1","0.29"
"G57211","-0.48","0.62 (0.4-0.98)","4.2","0.04"
"G56062","-0.2","0.82 (0.56-1.2)","1","0.32"
"G165829","-0.19","0.83 (0.51-1.3)","0.63","0.43"
"G6821","-0.55","0.58 (0.25-1.3)","1.7","0.19"
"G221393","0.22","1.2 (0.98-1.6)","3.2","0.075"
"G133396","0.13","1.1 (0.84-1.5)","0.68","0.41"
"G94122","0.053","1.1 (0.79-1.4)","0.13","0.72"
"G10806","-1.2","0.3 (0.11-0.82)","5.5","0.019"
"G222611","-0.054","0.95 (0.75-1.2)","0.22","0.64"
"G6854","-0.26","0.77 (0.46-1.3)","0.92","0.34"
"G136371","0.26","1.3 (0.77-2.2)","0.93","0.34"
"G170572","-0.33","0.72 (0.44-1.2)","1.6","0.2"
"G84807","-0.33","0.72 (0.43-1.2)","1.6","0.21"
"G146722","-0.051","0.95 (0.64-1.4)","0.06","0.8"
"G84694","0.29","1.3 (0.96-1.9)","3","0.086"
"G7483","-0.48","0.62 (0.35-1.1)","2.7","0.1"
"G64090","0.027","1 (0.77-1.4)","0.03","0.86"
"G8396","-1.4","0.25 (0.064-1)","3.8","0.051"
"G113746","0.16","1.2 (0.78-1.8)","0.58","0.45"
"G164237","0.13","1.1 (0.85-1.5)","0.76","0.38"
"G256369","-0.56","0.57 (0.33-1)","3.9","0.049"
"G162394","0.43","1.5 (0.7-3.4)","1.2","0.28"
"G89777","0.31","1.4 (1-1.8)","4.7","0.03"
"G126326","0.014","1 (0.65-1.6)","0","0.95"
"G114771","0.087","1.1 (0.81-1.5)","0.34","0.56"
"G85481","0.3","1.4 (0.98-1.9)","3.4","0.064"
"G89883","-0.14","0.87 (0.54-1.4)","0.32","0.57"
"G116255","-0.026","0.97 (0.73-1.3)","0.03","0.86"
"G27201","0.18","1.2 (0.83-1.7)","0.93","0.34"
"G132243","-0.18","0.84 (0.64-1.1)","1.6","0.2"
"G134860","0.083","1.1 (0.8-1.5)","0.29","0.59"
"G114814","-0.17","0.84 (0.57-1.2)","0.79","0.38"
"G91977","-1.1","0.33 (0.17-0.65)","10","0.0012"
"G149428","-0.31","0.74 (0.57-0.95)","5.5","0.019"
"G140456","0.31","1.4 (1.1-1.7)","6","0.014"
"G266553","0.2","1.2 (0.59-2.5)","0.29","0.59"
"G121214","-0.059","0.94 (0.71-1.3)","0.17","0.68"
"G120066","-0.14","0.87 (0.66-1.1)","0.99","0.32"
"G135644","0.038","1 (0.81-1.3)","0.09","0.76"
"G286828","-0.097","0.91 (0.68-1.2)","0.44","0.5"
"G128488","0.22","1.2 (0.93-1.7)","2.1","0.15"
"G155051","0.072","1.1 (0.85-1.4)","0.37","0.54"
"G147323","-0.018","0.98 (0.74-1.3)","0.02","0.9"
"G143501","0.09","1.1 (0.88-1.4)","0.66","0.42"
"G84322","0.014","1 (0.73-1.4)","0.01","0.94"
"G10018","0.38","1.5 (0.71-3)","1","0.31"
"G245932","0.22","1.2 (0.88-1.8)","1.5","0.22"
"G255061","-0.094","0.91 (0.69-1.2)","0.46","0.5"
"G729220","-0.35","0.7 (0.44-1.1)","2.2","0.14"
"G200765","-0.47","0.63 (0.32-1.2)","1.9","0.16"
"G54890","-0.6","0.55 (0.16-1.8)","0.94","0.33"
"G26112","-0.29","0.75 (0.52-1.1)","2.5","0.11"
"G4799","-0.77","0.46 (0.2-1.1)","3.2","0.073"
"G1829","0.55","1.7 (1.2-2.6)","7.5","0.0061"
"G134553","-1.4","0.25 (0.094-0.68)","7.4","0.0066"
"G89890","-1","0.36 (0.21-0.63)","13","0.00027"
"G1024","0.18","1.2 (0.48-3)","0.14","0.71"
"G5753","-0.33","0.72 (0.5-1)","3.2","0.072"
"G85407","-0.46","0.63 (0.38-1.1)","3","0.081"
"G11329","-0.051","0.95 (0.5-1.8)","0.02","0.88"
"G117145","-1.4","0.24 (0.12-0.49)","16","8.2e-05"
"G63967","0.29","1.3 (0.69-2.6)","0.73","0.39"
"G57786","-0.53","0.59 (0.26-1.3)","1.7","0.19"
"G284403","-0.17","0.85 (0.53-1.4)","0.48","0.49"
"G221074","-0.25","0.78 (0.57-1.1)","2.4","0.12"
"G165918","-0.45","0.64 (0.39-1.1)","3.1","0.08"
"G79987","-0.4","0.67 (0.4-1.1)","2.2","0.13"
"G652276","-0.16","0.86 (0.6-1.2)","0.76","0.38"
"G2626","0.77","2.2 (1.1-4.2)","5.1","0.024"
"G123036","-0.33","0.72 (0.48-1.1)","2.6","0.11"
"G203228","-0.33","0.72 (0.42-1.2)","1.5","0.22"
"G130535","-0.66","0.52 (0.23-1.2)","2.6","0.11"
"G8462","-0.41","0.66 (0.33-1.3)","1.3","0.25"
"G126549","-0.058","0.94 (0.72-1.2)","0.18","0.67"
"G55558","0.57","1.8 (0.95-3.3)","3.2","0.074"
"G53918","-0.015","0.98 (0.51-1.9)","0","0.96"
"G144811","0.31","1.4 (0.69-2.7)","0.79","0.37"
"G202020","-0.76","0.47 (0.28-0.78)","8.3","0.0039"
"G152405","0.1","1.1 (0.83-1.5)","0.51","0.48"
"G202151","-0.031","0.97 (0.77-1.2)","0.06","0.8"
"G23161","-1.8","0.16 (0.055-0.46)","11","0.00074"
"G221656","-0.42","0.66 (0.38-1.1)","2.3","0.13"
"G245972","0.031","1 (0.77-1.4)","0.04","0.83"
"G89884","-0.08","0.92 (0.47-1.8)","0.05","0.82"
"G84984","-0.12","0.89 (0.53-1.5)","0.2","0.65"
"G8701","-0.28","0.75 (0.55-1)","3","0.086"
"G148137","0.018","1 (0.51-2)","0","0.96"
"G113622","-0.039","0.96 (0.65-1.4)","0.04","0.85"
"G11276","-0.67","0.51 (0.12-2.1)","0.88","0.35"
"G64403","0.2","1.2 (0.82-1.8)","0.98","0.32"
"G51091","-0.29","0.75 (0.33-1.7)","0.46","0.5"
"G2901","0.19","1.2 (0.71-2.1)","0.5","0.48"
"G164312","0.0015","1 (0.81-1.2)","0","0.99"
"G27153","-0.014","0.99 (0.47-2.1)","0","0.97"
"G57158","-0.48","0.62 (0.32-1.2)","2.1","0.15"
"G8654","-0.64","0.53 (0.32-0.89)","5.9","0.015"
"G117157","-0.27","0.77 (0.49-1.2)","1.3","0.25"
"G6753","-1.2","0.31 (0.1-0.92)","4.4","0.035"
"G171019","0.13","1.1 (0.87-1.5)","0.86","0.35"
"G64794","-0.14","0.87 (0.32-2.4)","0.07","0.79"
"G89766","0.2","1.2 (1-1.4)","6.4","0.011"
"G158158","-0.088","0.92 (0.48-1.7)","0.07","0.79"
"G117583","-0.33","0.72 (0.33-1.5)","0.73","0.39"
"G667","-0.18","0.84 (0.49-1.4)","0.44","0.51"
"G126068","-1.1","0.34 (0.18-0.63)","12","0.00063"
"G257194","-0.24","0.78 (0.59-1)","2.8","0.095"
"G115352","0.13","1.1 (0.83-1.6)","0.68","0.41"
"G138009","0.25","1.3 (0.84-2)","1.3","0.25"
"G219736","0.19","1.2 (0.93-1.6)","2","0.15"
"G253868","-1","0.36 (0.22-0.59)","16","5e-05"
"G285598","-0.36","0.7 (0.38-1.3)","1.3","0.25"
"G84900","0.81","2.2 (1.4-3.7)","10","0.0015"
"G162282","-0.18","0.84 (0.63-1.1)","1.5","0.22"
"G196374","-0.63","0.53 (0.31-0.9)","5.6","0.018"
"G79741","-0.53","0.59 (0.4-0.86)","7.3","0.0068"
"G7592","-0.44","0.64 (0.32-1.3)","1.5","0.22"
"G84450","-0.4","0.67 (0.26-1.7)","0.71","0.4"
"G9949","0.46","1.6 (0.8-3.1)","1.7","0.19"
"G150864","-0.4","0.67 (0.31-1.4)","1.1","0.3"
"G147949","-0.37","0.69 (0.45-1.1)","2.7","0.099"
"G165140","0.58","1.8 (0.99-3.2)","3.7","0.054"
"G7798","-0.48","0.62 (0.25-1.6)","1","0.31"
"G7626","-0.64","0.53 (0.29-0.97)","4.2","0.04"
"G145978","0.16","1.2 (0.91-1.5)","1.5","0.22"
"G54014","-1.8","0.17 (0.064-0.47)","12","0.00054"
"G220388","-0.29","0.75 (0.53-1.1)","2.6","0.1"
"G137209","0.22","1.2 (0.84-1.8)","1.2","0.27"
"G151393","-1.4","0.25 (0.15-0.41)","29","7.4e-08"
"G170692","0.41","1.5 (0.95-2.4)","3.1","0.079"
"G56135","-0.32","0.73 (0.53-1)","3.7","0.055"
"G147746","-0.45","0.63 (0.4-1)","3.9","0.048"
"G220108","0.031","1 (0.62-1.7)","0.01","0.91"
"G286183","-0.18","0.84 (0.61-1.1)","1.2","0.27"
"G80760","-0.33","0.72 (0.54-0.95)","5.4","0.02"
"G2187","0.51","1.7 (1.2-2.4)","7.9","0.005"
"G84197","0.11","1.1 (0.76-1.6)","0.31","0.58"
"G163051","-0.27","0.77 (0.36-1.6)","0.48","0.49"
"G284001","-0.63","0.53 (0.29-0.97)","4.2","0.041"
"G27127","0.0011","1 (0.78-1.3)","0","0.99"
"G254065","-1","0.36 (0.14-0.91)","4.6","0.031"
"G92591","0.36","1.4 (0.67-3.1)","0.87","0.35"
"G139599","-0.014","0.99 (0.8-1.2)","0.02","0.89"
"G147664","-0.36","0.7 (0.52-0.93)","5.8","0.016"
"G89792","0.41","1.5 (1.1-2.1)","6.1","0.013"
"G146512","-0.25","0.78 (0.59-1)","3","0.085"
"G151254","-0.21","0.81 (0.54-1.2)","1.1","0.3"
"G2837","0.32","1.4 (1-1.8)","4.9","0.027"
"G124590","-0.022","0.98 (0.58-1.7)","0.01","0.94"
"G6853","-0.07","0.93 (0.64-1.4)","0.13","0.72"
"G151295","-1","0.36 (0.21-0.6)","15","0.00012"
"G246175","-0.42","0.66 (0.35-1.2)","1.8","0.18"
"G162494","0.015","1 (0.63-1.6)","0","0.95"
"G255403","-0.77","0.46 (0.27-0.79)","8.1","0.0044"
"G57609","-0.56","0.57 (0.25-1.3)","1.7","0.19"
"G206358","0.86","2.4 (1.2-4.7)","6","0.015"
"G154007","-0.98","0.38 (0.14-1)","3.5","0.06"
"G147741","0.088","1.1 (0.9-1.3)","0.8","0.37"
"G25914","-0.12","0.88 (0.39-2)","0.09","0.77"
"G153579","-0.83","0.44 (0.29-0.66)","16","7.1e-05"
"G150962","-1.1","0.32 (0.16-0.63)","11","0.0011"
"G257068","0.17","1.2 (0.73-1.9)","0.47","0.49"
"G150147","0.016","1 (0.76-1.4)","0.01","0.91"
"G89782","-0.35","0.71 (0.33-1.5)","0.78","0.38"
"G144715","-0.81","0.45 (0.27-0.74)","10","0.0016"
"G148254","-0.2","0.82 (0.42-1.6)","0.36","0.55"
"G222950","-0.27","0.77 (0.55-1.1)","2.5","0.12"
"G124923","-0.66","0.52 (0.31-0.87)","6.1","0.014"
"G117195","-0.45","0.63 (0.48-0.83)","11","0.001"
"G154664","-0.096","0.91 (0.75-1.1)","0.97","0.32"
"G84873","0.16","1.2 (0.99-1.4)","3.4","0.064"
"G1441","-0.21","0.81 (0.52-1.2)","0.94","0.33"
"G146723","-0.14","0.87 (0.65-1.2)","0.84","0.36"
"G574029","0.29","1.3 (0.99-1.8)","3.7","0.055"
"G160851","0.033","1 (0.49-2.2)","0.01","0.93"
"G130827","-0.14","0.87 (0.45-1.7)","0.18","0.67"
"G123775","-0.62","0.54 (0.34-0.86)","6.6","0.01"
"G149986","-0.21","0.81 (0.42-1.5)","0.42","0.52"
"G841","-0.23","0.79 (0.35-1.8)","0.32","0.57"
"G151056","-0.1","0.9 (0.59-1.4)","0.22","0.64"
"G284756","-0.19","0.83 (0.64-1.1)","2.1","0.14"
"G6526","0.4","1.5 (0.76-2.9)","1.3","0.25"
"G124602","-0.023","0.98 (0.63-1.5)","0.01","0.92"
"G200172","-0.5","0.61 (0.44-0.85)","8.5","0.0036"
"G27197","0.39","1.5 (0.96-2.3)","3.1","0.078"
"G158787","-0.15","0.86 (0.57-1.3)","0.47","0.49"
"G27199","-0.12","0.89 (0.69-1.1)","0.84","0.36"
"G168448","0.034","1 (0.83-1.3)","0.09","0.76"
"G27233","-0.51","0.6 (0.39-0.93)","5.2","0.023"
"G7003","-0.034","0.97 (0.47-2)","0.01","0.93"
"G117155","-0.72","0.49 (0.31-0.76)","9.9","0.0016"
"G440278","-0.73","0.48 (0.3-0.76)","9.6","0.002"
"G101930343","-0.72","0.49 (0.31-0.76)","9.9","0.0016"
"G134187","-0.15","0.86 (0.65-1.1)","1.1","0.3"
"G122042","0.21","1.2 (0.91-1.7)","1.8","0.18"
"G222389","-0.69","0.5 (0.34-0.74)","12","0.00058"
"G6571","-0.47","0.63 (0.46-0.86)","8.6","0.0034"
"G136263","-0.062","0.94 (0.63-1.4)","0.09","0.76"
"G126868","-0.014","0.99 (0.79-1.2)","0.02","0.9"
"G285696","-0.23","0.79 (0.58-1.1)","2.3","0.13"
"G166968","0.16","1.2 (0.51-2.7)","0.14","0.71"
"G163859","1.4","4 (1.4-12)","6.8","0.0089"
"G83650","-0.28","0.75 (0.57-1)","3.9","0.047"
"G146861","-0.43","0.65 (0.43-0.98)","4.2","0.041"
"G646000","-0.28","0.75 (0.57-1)","3.9","0.047"
"G131669","-0.11","0.89 (0.65-1.2)","0.51","0.48"
"G65217","0.0057","1 (0.75-1.3)","0","0.97"
"G27327","-0.98","0.38 (0.16-0.88)","5","0.025"
"G3742","-0.093","0.91 (0.61-1.4)","0.21","0.64"
"G196528","-0.94","0.39 (0.15-1)","3.6","0.057"
"G205147","-0.35","0.71 (0.4-1.2)","1.5","0.22"
"G161725","-0.068","0.93 (0.57-1.5)","0.08","0.78"
"G30816","-0.89","0.41 (0.27-0.63)","17","4.3e-05"
"G158696","-0.14","0.87 (0.61-1.2)","0.57","0.45"
"G80028","0.55","1.7 (0.75-4)","1.6","0.2"
"G154386","0.36","1.4 (1.1-1.9)","6.3","0.012"
"G285848","0.41","1.5 (1.2-2)","9.4","0.0021"
"G120863","-0.22","0.8 (0.55-1.2)","1.4","0.24"
"G51239","-0.31","0.73 (0.41-1.3)","1.1","0.3"
"G200539","-0.69","0.5 (0.3-0.85)","6.6","0.01"
"G125965","0.26","1.3 (0.93-1.8)","2.3","0.13"
"G199786","-0.28","0.76 (0.51-1.1)","1.8","0.18"
"G284656","0.32","1.4 (0.77-2.5)","1.2","0.28"
"G128025","0.29","1.3 (0.82-2.2)","1.4","0.24"
"G55412","-0.23","0.8 (0.56-1.1)","1.6","0.21"
"G114781","-1","0.37 (0.2-0.67)","11","0.00099"
"G256957","0.063","1.1 (0.82-1.4)","0.22","0.64"
"G165631","-0.085","0.92 (0.65-1.3)","0.23","0.63"
"G143872","-0.012","0.99 (0.61-1.6)","0","0.96"
"G84931","0.18","1.2 (0.89-1.6)","1.4","0.23"
"G84879","-0.59","0.55 (0.36-0.85)","7.3","0.007"
"G472","-0.044","0.96 (0.42-2.2)","0.01","0.92"
"G221301","0.03","1 (0.79-1.3)","0.05","0.83"
"G27031","-1.3","0.27 (0.15-0.52)","16","6e-05"
"G285973","-0.037","0.96 (0.59-1.6)","0.02","0.88"
"G254158","0.0099","1 (0.75-1.4)","0","0.95"
"G146779","0.066","1.1 (0.85-1.3)","0.34","0.56"
"G102724660","0.066","1.1 (0.85-1.3)","0.34","0.56"
"G7021","-0.058","0.94 (0.71-1.2)","0.16","0.69"
"G152206","0.28","1.3 (0.78-2.3)","1.1","0.3"
"G147081","-0.25","0.78 (0.36-1.7)","0.4","0.53"
"G401884","-0.44","0.65 (0.27-1.5)","0.98","0.32"
"G259249","0.3","1.4 (0.79-2.3)","1.2","0.26"
"G3077","-0.17","0.84 (0.3-2.3)","0.11","0.74"
"G117579","0.033","1 (0.66-1.6)","0.02","0.89"
"G64478","-0.32","0.72 (0.45-1.2)","1.7","0.19"
"G23499","-1.4","0.25 (0.12-0.53)","13","0.00035"
"G80070","0.11","1.1 (0.74-1.7)","0.26","0.61"
"G27164","-0.2","0.82 (0.49-1.4)","0.59","0.44"
"G84871","0.53","1.7 (1.2-2.5)","7.2","0.0071"
"G80078","0.027","1 (0.92-1.1)","0.24","0.63"
"G246213","-0.071","0.93 (0.78-1.1)","0.6","0.44"
"G283171","0.094","1.1 (0.79-1.5)","0.32","0.57"
"G150538","-0.054","0.95 (0.68-1.3)","0.1","0.75"
"G54715","-0.057","0.94 (0.69-1.3)","0.13","0.72"
"G146857","0.26","1.3 (0.87-1.9)","1.6","0.2"
"G283461","-0.05","0.95 (0.71-1.3)","0.11","0.74"
"G149465","-0.041","0.96 (0.69-1.3)","0.06","0.81"
"G285668","-0.095","0.91 (0.67-1.2)","0.39","0.53"
"G170689","-0.6","0.55 (0.34-0.89)","6","0.014"
"G285780","0.028","1 (0.69-1.5)","0.02","0.89"
"G158263","0.0088","1 (0.75-1.4)","0","0.95"
"G128178","0.47","1.6 (1.2-2.2)","8.9","0.0029"
"G146183","0.054","1.1 (0.72-1.5)","0.08","0.78"
"G653786","0.054","1.1 (0.72-1.5)","0.08","0.78"
"G101060424","0.63","1.9 (1.2-2.9)","8","0.0045"
"G203238","-0.035","0.97 (0.47-2)","0.01","0.92"
"G163720","-0.19","0.83 (0.65-1.1)","2.4","0.12"
"G147276","0.2","1.2 (0.92-1.6)","1.9","0.17"
"G283463","-0.33","0.72 (0.56-0.92)","6.6","0.01"
"G127707","-0.19","0.83 (0.56-1.2)","0.83","0.36"
"G100505621","0.16","1.2 (0.75-1.8)","0.51","0.47"
"G147429","-0.089","0.91 (0.69-1.2)","0.4","0.53"
"G85445","0.47","1.6 (1-2.5)","4.3","0.039"
"G439941","-0.058","0.94 (0.68-1.3)","0.12","0.72"
"G148345","-0.097","0.91 (0.64-1.3)","0.3","0.59"
"G100996634","-0.067","0.94 (0.75-1.2)","0.35","0.55"
"G123624","-0.48","0.62 (0.48-0.8)","13","0.00029"
"G285759","-0.36","0.7 (0.55-0.89)","8.6","0.0034"
"G283860","-0.28","0.76 (0.52-1.1)","2.1","0.15"
"G283847","0.17","1.2 (0.93-1.5)","1.9","0.17"
"G283446","-0.18","0.84 (0.56-1.3)","0.73","0.39"
"G142686","-0.11","0.9 (0.53-1.5)","0.16","0.69"
"G126638","-0.028","0.97 (0.74-1.3)","0.04","0.84"
"G100996279","0.036","1 (0.7-1.5)","0.03","0.86"
"G196740","-0.49","0.61 (0.37-1)","3.7","0.055"
"G284992","0.13","1.1 (0.63-2.1)","0.18","0.67"
"G285051","-0.016","0.98 (0.73-1.3)","0.01","0.92"
"G171483","-0.049","0.95 (0.7-1.3)","0.1","0.75"
"G286023","0.43","1.5 (0.99-2.4)","3.7","0.053"
"G221223","-0.11","0.9 (0.71-1.1)","0.8","0.37"
"G286464","-0.85","0.43 (0.2-0.89)","5.1","0.024"
"G347442","0.00015","1 (0.78-1.3)","0","1"
"G439944","0.00015","1 (0.78-1.3)","0","1"
"G101928481","0.00015","1 (0.78-1.3)","0","1"
"G100288805","-0.14","0.87 (0.56-1.4)","0.4","0.53"
"G8632","-0.07","0.93 (0.61-1.4)","0.1","0.75"
"G150596","-0.49","0.61 (0.43-0.87)","7.6","0.0058"
"G100288966","-0.0054","0.99 (0.83-1.2)","0","0.95"
"G283165","0.13","1.1 (0.84-1.6)","0.73","0.39"
"G284339","0.47","1.6 (1.1-2.4)","4.9","0.026"
"G145858","-0.062","0.94 (0.66-1.3)","0.11","0.73"
"G254187","0.19","1.2 (0.89-1.6)","1.5","0.23"
"G144360","0.014","1 (0.79-1.3)","0.01","0.91"
"G151278","-0.042","0.96 (0.74-1.2)","0.1","0.75"
"G284099","-0.048","0.95 (0.75-1.2)","0.16","0.69"
"G146279","-0.36","0.69 (0.5-0.96)","4.7","0.03"
"G283455","-0.78","0.46 (0.26-0.81)","7.4","0.0066"
"G5075","0.62","1.9 (1.2-3)","6.6","0.01"
"G157739","-0.032","0.97 (0.63-1.5)","0.02","0.88"
"G439916","0.18","1.2 (0.91-1.6)","1.6","0.2"
"G327657","0.067","1.1 (0.76-1.5)","0.14","0.71"
"G26223","-0.32","0.73 (0.51-1)","3.2","0.076"
"G11217","-0.9","0.41 (0.21-0.78)","7.3","0.0069"
"G114299","-0.77","0.46 (0.32-0.67)","17","4.5e-05"
"G445815","-0.9","0.41 (0.21-0.78)","7.3","0.0069"
"G117196","-0.31","0.73 (0.55-0.97)","4.6","0.031"
"G144568","0.35","1.4 (0.97-2.1)","3.3","0.071"
"G130749","-0.11","0.9 (0.66-1.2)","0.46","0.5"
"G2830","0.16","1.2 (0.76-1.8)","0.51","0.48"
"G259283","-0.53","0.59 (0.28-1.2)","2","0.15"
"G9125","1.6","4.9 (1.9-12)","11","0.00081"
"G125111","0.27","1.3 (0.61-2.8)","0.48","0.49"
"G3228","-0.22","0.8 (0.61-1.1)","2.4","0.12"
"G55350","0.18","1.2 (0.84-1.7)","1","0.31"
"G150678","-0.27","0.76 (0.4-1.5)","0.67","0.41"
"G222894","-0.041","0.96 (0.65-1.4)","0.04","0.84"
"G170949","-0.075","0.93 (0.7-1.2)","0.27","0.6"
"G100287083","-0.075","0.93 (0.7-1.2)","0.27","0.6"
"G246705","0.071","1.1 (0.86-1.3)","0.41","0.52"
"G140596","0.082","1.1 (0.77-1.5)","0.22","0.64"
"G503618","0.082","1.1 (0.77-1.5)","0.22","0.64"
"G338323","0.091","1.1 (0.84-1.4)","0.45","0.5"
"G1607","0.19","1.2 (0.89-1.7)","1.5","0.22"
"G126204","0.063","1.1 (0.81-1.4)","0.2","0.65"
"G126205","0.15","1.2 (0.84-1.6)","0.84","0.36"
"G338321","0.3","1.3 (0.76-2.4)","1","0.31"
"G6877","-0.35","0.71 (0.26-1.9)","0.45","0.5"
"G80834","-0.22","0.8 (0.63-1)","3.3","0.07"
"G3688","0.66","1.9 (0.73-5.2)","1.8","0.19"
"G5046","0.22","1.2 (0.74-2.1)","0.67","0.41"
"G84905","0.59","1.8 (1.1-3)","4.9","0.027"
"G56704","-0.66","0.52 (0.33-0.81)","8.2","0.0042"
"G338322","-0.27","0.76 (0.54-1.1)","2.3","0.13"
"G5905","1.3","3.7 (1.8-7.8)","12","0.00042"
"G10150","-0.75","0.47 (0.23-0.98)","4","0.045"
"G319101","-0.046","0.96 (0.58-1.6)","0.03","0.86"
"G4512","3.5","32 (7.7-130)","23","1.7e-06"
"G121391","0.23","1.3 (0.77-2)","0.87","0.35"
"G3177","-0.44","0.65 (0.38-1.1)","2.6","0.11"
"G4009","-0.2","0.82 (0.66-1)","3.3","0.068"
"G202243","-0.049","0.95 (0.5-1.8)","0.02","0.88"
"G83550","-0.26","0.77 (0.59-1)","3.8","0.051"
"G286676","0.46","1.6 (1.1-2.3)","5.5","0.019"
"G317701","0.18","1.2 (0.89-1.6)","1.4","0.23"
"G317705","-0.24","0.79 (0.56-1.1)","2","0.16"
"G4536","0.88","2.4 (1.1-5.3)","4.8","0.028"
"G83551","0.076","1.1 (0.8-1.4)","0.25","0.61"
"G259285","0.06","1.1 (0.82-1.4)","0.21","0.65"
"G5726","-0.091","0.91 (0.7-1.2)","0.46","0.5"
"G259286","0.062","1.1 (0.8-1.4)","0.17","0.68"
"G259287","-0.092","0.91 (0.71-1.2)","0.49","0.48"
"G134285","0.36","1.4 (1-2)","4.2","0.04"
"G317703","-0.087","0.92 (0.69-1.2)","0.38","0.54"
"G259296","-0.2","0.82 (0.6-1.1)","1.5","0.21"
"G926","-0.042","0.96 (0.52-1.8)","0.02","0.89"
"G100996919","-0.035","0.97 (0.58-1.6)","0.02","0.89"
"G140733","-0.33","0.72 (0.54-0.95)","5.4","0.02"
"G23576","-0.73","0.48 (0.26-0.88)","5.7","0.017"
"G196500","-0.088","0.92 (0.63-1.3)","0.22","0.64"
"G4508","-1.2","0.31 (0.1-0.9)","4.6","0.031"
"G3010","-0.38","0.68 (0.44-1.1)","2.9","0.086"
"G4513","2.4","11 (3.8-34)","19","1.4e-05"
"G114757","0.14","1.2 (0.55-2.4)","0.14","0.7"
"G1943","0.53","1.7 (1.1-2.5)","7","0.0079"
"G338376","0.036","1 (0.73-1.5)","0.04","0.84"
"G4541","-1.8","0.17 (0.06-0.48)","11","0.00075"
"G10407","-0.2","0.82 (0.45-1.5)","0.43","0.51"
"G653423","-0.59","0.55 (0.3-1)","3.4","0.065"
"G285672","-0.86","0.42 (0.16-1.1)","3.2","0.075"
"G7069","-0.23","0.8 (0.5-1.3)","0.9","0.34"
"G79742","-0.52","0.59 (0.35-1)","3.9","0.048"
"G4104","-0.15","0.86 (0.63-1.2)","0.95","0.33"
"G100533997","-0.15","0.86 (0.63-1.2)","0.95","0.33"
"G283932","0.15","1.2 (0.76-1.8)","0.48","0.49"
"G56655","-0.24","0.79 (0.47-1.3)","0.79","0.37"
"G4537","2.9","19 (4.6-77)","17","4.5e-05"
"G30011","2.1","8.1 (3-22)","17","3.7e-05"
"G10158","0.39","1.5 (1.1-2)","6.6","0.01"
"G100131997","-0.37","0.69 (0.4-1.2)","1.9","0.17"
"G100289124","-0.37","0.69 (0.4-1.2)","1.9","0.17"
"G644165","0.32","1.4 (0.94-2)","2.8","0.097"
"G6887","-0.28","0.75 (0.45-1.3)","1.1","0.29"
"G3640","0.24","1.3 (0.73-2.2)","0.75","0.39"
