"","beta","HR (95% CI for HR)","wald.test","p.value"
"G101928298","0.077","1.1 (0.051-23)","0","0.96"
"G101928770","2","7.7 (0.63-93)","2.6","0.11"
"G245935","0.83","2.3 (0.15-35)","0.36","0.55"
"G100861543","-0.56","0.57 (0.071-4.5)","0.28","0.6"
"G101928739","-1.5","0.23 (0.0057-9.2)","0.61","0.43"
"G285429","-3.2","0.042 (0.0016-1.1)","3.6","0.057"
"G126069","0.34","1.4 (0.31-6.4)","0.2","0.66"
"G151171","-0.29","0.75 (0.13-4.3)","0.1","0.75"
"G646383","0.32","1.4 (0.21-8.9)","0.11","0.74"
"G401260","1.3","3.8 (0.6-25)","2","0.16"
"G101927606","5","140 (6.9-2900)","10","0.0013"
"G642426","-0.58","0.56 (0.0092-34)","0.08","0.78"
"G221806","0.64","1.9 (0.75-4.8)","1.8","0.18"
"G23522","0.0029","1 (0.26-3.9)","0","1"
"G10208","-0.25","0.78 (0.2-3)","0.13","0.71"
"G129049","0.059","1.1 (0.37-3.1)","0.01","0.91"
"G91584","0.5","1.6 (0.6-4.5)","0.95","0.33"
"G147660","0.74","2.1 (0.37-12)","0.7","0.4"
"G286058","0.69","2 (0.42-9.3)","0.75","0.39"
"G285965","-1.2","0.3 (0.042-2.1)","1.4","0.23"
"G574538","1.4","4.2 (0.23-79)","0.93","0.33"
"G641364","0.28","1.3 (0.2-8.6)","0.08","0.77"
"G22861","0.3","1.3 (0.37-4.9)","0.2","0.65"
"G374618","-2.8","0.062 (0.0031-1.2)","3.3","0.069"
"G100507156","1.3","3.8 (1-14)","3.9","0.048"
"G339685","1.2","3.3 (0.41-27)","1.3","0.26"
"G8874","1.1","3 (0.32-27)","0.91","0.34"
"G101927914","0.52","1.7 (0.26-11)","0.29","0.59"
"G1262","0.66","1.9 (0.26-14)","0.42","0.51"
"G101928446","0.29","1.3 (0.15-12)","0.07","0.79"
"G54212","-2.9","0.053 (0.00084-3.4)","1.9","0.17"
"G374860","-0.7","0.5 (0.0083-30)","0.11","0.74"
"G116328","0.035","1 (0.45-2.4)","0.01","0.93"
"G80317","-0.2","0.82 (0.16-4.2)","0.06","0.81"
"G283682","-0.85","0.43 (0.021-8.5)","0.31","0.58"
"G286554","-0.22","0.8 (0.063-10)","0.03","0.86"
"G121006","1.4","4.1 (0.77-22)","2.8","0.097"
"G283777","0.087","1.1 (0.21-5.6)","0.01","0.92"
"G100874012","0.27","1.3 (0.07-25)","0.03","0.85"
"G5166","0.051","1.1 (0.58-1.9)","0.03","0.87"
"G162998","-0.57","0.56 (0.11-2.9)","0.47","0.49"
"G55016","-0.083","0.92 (0.47-1.8)","0.06","0.81"
"G101927560","0.087","1.1 (0.18-6.7)","0.01","0.93"
"G101927587","0.087","1.1 (0.18-6.7)","0.01","0.93"
"G400680","1.2","3.3 (0.11-98)","0.46","0.5"
"G6399","-0.26","0.77 (0.17-3.4)","0.12","0.73"
"G101928583","-3.1","0.046 (0.00019-11)","1.2","0.27"
"G387751","-0.68","0.51 (0.12-2.1)","0.88","0.35"
"G286177","-1.8","0.16 (0.0076-3.4)","1.4","0.24"
"G400360","1.1","3.1 (0.83-12)","2.8","0.093"
"G84433","0.35","1.4 (0.53-3.7)","0.48","0.49"
"G22987","1.9","7 (0.4-120)","1.8","0.18"
"G285830","-1.3","0.27 (0.034-2.2)","1.5","0.22"
"G100423035","0.62","1.9 (0.32-11)","0.47","0.49"
"G115560","0.46","1.6 (0.28-8.9)","0.27","0.6"
"G65250","-1.7","0.19 (0.019-1.8)","2.1","0.15"
"G285819","0.12","1.1 (0.16-8.2)","0.01","0.91"
"G101927359","3","19 (0.4-920)","2.2","0.13"
"G6150","0.21","1.2 (0.32-4.7)","0.1","0.76"
"G283112","0.48","1.6 (0.079-34)","0.1","0.75"
"G6547","0.34","1.4 (0.24-8.2)","0.15","0.7"
"G91807","-1.2","0.3 (0.0099-8.9)","0.49","0.48"
"G440072","0.53","1.7 (0.11-26)","0.15","0.7"
"G100509814","2.5","12 (0.91-160)","3.6","0.059"
"G90853","0.16","1.2 (0.66-2.1)","0.28","0.59"
"G285889","2.4","11 (0.43-270)","2.1","0.15"
"G8428","0.44","1.6 (0.3-8.1)","0.27","0.6"
"G654780","1.6","5.1 (0.49-54)","1.9","0.17"
"G379034","0.47","1.6 (0.41-6.2)","0.45","0.5"
"G85451","0.067","1.1 (0.27-4.2)","0.01","0.92"
"G100852407","3","20 (2.2-180)","7.2","0.0075"
"G8202","0.2","1.2 (0.37-4.1)","0.1","0.75"
"G9175","-1.1","0.33 (0.12-0.93)","4.4","0.037"
"G6742","-0.38","0.68 (0.14-3.4)","0.22","0.64"
"G134829","0.77","2.2 (0.23-20)","0.46","0.5"
"G100506195","0.98","2.7 (0.027-260)","0.18","0.67"
"G101929586","0.41","1.5 (0.11-21)","0.09","0.76"
"G57701","0.95","2.6 (0.62-11)","1.7","0.19"
"G55748","1.1","3.2 (0.61-16)","1.9","0.17"
"G196385","0.11","1.1 (0.36-3.5)","0.04","0.85"
"G101929260","0.15","1.2 (0.15-9.3)","0.02","0.88"
"G401237","1.8","6 (0.88-41)","3.3","0.068"
"G127428","0.041","1 (0.11-9.9)","0","0.97"
"G401014","-0.29","0.75 (0.079-7.1)","0.06","0.8"
"G64641","0.088","1.1 (0.29-4.1)","0.02","0.9"
"G100652730","-0.58","0.56 (0.099-3.2)","0.42","0.52"
"G101927623","0.69","2 (0.44-9)","0.79","0.37"
"G63895","0.7","2 (0.45-8.9)","0.85","0.36"
"G284486","-1.8","0.17 (0.0084-3.4)","1.3","0.25"
"G101928622","0.92","2.5 (0.07-90)","0.25","0.61"
"G340090","1.5","4.6 (0.21-100)","0.93","0.34"
"G51479","-1.4","0.24 (0.019-3)","1.2","0.27"
"G339539","0.43","1.5 (0.25-9.6)","0.21","0.64"
"G255177","0.75","2.1 (0.16-28)","0.32","0.57"
"G101927455","0.84","2.3 (0.37-15)","0.82","0.37"
"G339442","-0.42","0.66 (0.08-5.4)","0.15","0.69"
"G1130","-0.38","0.68 (0.26-1.8)","0.6","0.44"
"G10924","-0.5","0.61 (0.29-1.3)","1.7","0.19"
"G55112","-0.072","0.93 (0.23-3.7)","0.01","0.92"
"G101929473","0.71","2 (0.073-56)","0.17","0.68"
"G101927641","2.1","8.1 (0.77-84)","3","0.081"
"G101929196","-0.48","0.62 (0.049-7.7)","0.14","0.71"
"G2205","-0.47","0.63 (0.32-1.2)","1.9","0.17"
"G339978","1.6","4.9 (0.77-31)","2.8","0.093"
"G101927660","1","2.7 (0.2-39)","0.56","0.45"
"G101930657","-1.6","0.2 (0.013-3.1)","1.3","0.25"
"G101927586","0.81","2.3 (0.22-24)","0.46","0.5"
"G101928144","1.5","4.4 (0.86-23)","3.2","0.076"
"G440704","0.28","1.3 (0.05-35)","0.03","0.87"
"G84270","1","2.8 (0.51-16)","1.4","0.23"
"G643749","-0.41","0.66 (0.016-28)","0.05","0.83"
"G400541","-0.22","0.81 (0.043-15)","0.02","0.89"
"G1586","1.1","2.9 (0.34-25)","0.96","0.33"
"G254028","-0.56","0.57 (0.072-4.5)","0.28","0.6"
"G284263","1.6","4.9 (0.64-38)","2.3","0.13"
"G116449","-0.6","0.55 (0.054-5.6)","0.25","0.61"
"G101928460","0.87","2.4 (0.31-18)","0.69","0.41"
"G283659","-1.1","0.34 (0.1-1.2)","2.9","0.087"
"G101929505","1.1","3 (0.2-46)","0.64","0.42"
"G100128292","0.55","1.7 (0.17-17)","0.22","0.64"
"G400952","0.56","1.7 (0.37-8.3)","0.49","0.48"
"G101927043","-1.3","0.28 (0.018-4.5)","0.8","0.37"
"G440028","0.75","2.1 (0.43-10)","0.86","0.35"
"G340074","-0.15","0.86 (0.11-6.7)","0.02","0.89"
"G347736","-0.46","0.63 (0.084-4.8)","0.2","0.65"
"G101927040","-0.74","0.48 (0.056-4.1)","0.46","0.5"
"G146513","-1.5","0.23 (0.027-2)","1.8","0.18"
"G100130078","1.1","3.1 (0.57-16)","1.7","0.19"
"G125115","0.67","2 (0.8-4.8)","2.2","0.14"
"G285191","0.11","1.1 (0.22-5.6)","0.02","0.89"
"G101927869","-0.18","0.83 (0.036-19)","0.01","0.91"
"G401474","-1.2","0.29 (0.071-1.2)","3.1","0.079"
"G285943","-1.3","0.26 (0.052-1.3)","2.6","0.11"
"G101929279","2.2","8.9 (1.4-57)","5.3","0.022"
"G401176","1.8","6.1 (0.42-90)","1.8","0.19"
"G55704","0.35","1.4 (0.41-4.8)","0.3","0.58"
"G284312","0.21","1.2 (0.21-7.3)","0.05","0.82"
"G101929413","0.32","1.4 (0.096-20)","0.06","0.81"
"G101927447","1.7","5.4 (0.47-62)","1.8","0.17"
"G400548","1","2.8 (0.25-30)","0.68","0.41"
"G286009","0.2","1.2 (0.22-6.8)","0.05","0.82"
"G101929325","1.5","4.6 (1.1-20)","4.2","0.042"
"G338651","-0.26","0.77 (0.13-4.6)","0.08","0.77"
"G101928784","4.6","97 (3.6-2600)","7.4","0.0065"
"G285547","-0.69","0.5 (0.028-8.8)","0.22","0.64"
"G151484","-1.3","0.28 (0.048-1.6)","2","0.16"
"G101929319","-1.5","0.22 (0.012-4.4)","0.97","0.32"
"G101927075","1.2","3.2 (0.5-20)","1.5","0.22"
"G646600","-1.5","0.22 (0.0042-11)","0.57","0.45"
"G121643","0.63","1.9 (0.36-9.8)","0.57","0.45"
"G100874375","-1.6","0.21 (0.01-4.1)","1.1","0.3"
"G339988","-0.15","0.86 (0.23-3.2)","0.05","0.82"
"G101928847","-0.023","0.98 (0.081-12)","0","0.99"
"G101929176","0.81","2.2 (0.43-12)","0.93","0.34"
"G157381","1.6","4.8 (0.69-33)","2.5","0.11"
"G101928553","0.01","1 (0.037-28)","0","1"
"G284632","-0.98","0.37 (0.013-11)","0.33","0.56"
"G339789","0.27","1.3 (0.19-8.9)","0.07","0.78"
"G101928476","0.59","1.8 (0.47-7)","0.73","0.39"
"G101927286","0.53","1.7 (0.36-8.1)","0.44","0.51"
"G122183","1.2","3.4 (0.37-32)","1.2","0.28"
"G729233","1.2","3.4 (0.37-32)","1.2","0.28"
"G729240","1.2","3.4 (0.37-32)","1.2","0.28"
"G729246","1.2","3.4 (0.37-32)","1.2","0.28"
"G729250","1.2","3.4 (0.37-32)","1.2","0.28"
"G286114","0.8","2.2 (0.15-33)","0.33","0.56"
"G100996665","-0.25","0.78 (0.15-4)","0.09","0.77"
"G642987","-0.68","0.51 (0.011-23)","0.12","0.73"
"G100188953","-0.35","0.7 (0.25-2)","0.43","0.51"
"G100130855","-2.5","0.083 (0.005-1.4)","3","0.082"
"G285224","0.48","1.6 (0.15-18)","0.16","0.69"
"G23190","-0.81","0.45 (0.16-1.2)","2.5","0.12"
"G103283057","0.58","1.8 (0.14-23)","0.19","0.66"
"G101928101","-0.62","0.54 (0.044-6.6)","0.24","0.63"
"G253044","1.1","3 (0.48-19)","1.4","0.24"
"G644090","1.8","6.3 (0.51-77)","2.1","0.15"
"G81849","-0.058","0.94 (0.42-2.1)","0.02","0.89"
"G101927044","-0.74","0.48 (0.059-3.8)","0.49","0.49"
"G101929288","0.54","1.7 (0.21-14)","0.25","0.62"
"G54981","-0.73","0.48 (0.16-1.4)","1.7","0.19"
"G285311","1.3","3.6 (0.12-110)","0.56","0.45"
"G100128025","0.48","1.6 (0.12-22)","0.13","0.72"
"G199699","0.12","1.1 (0.27-4.8)","0.03","0.87"
"G83594","-0.53","0.59 (0.23-1.5)","1.2","0.27"
"G339807","0.51","1.7 (0.36-7.7)","0.43","0.51"
"G2086","0.41","1.5 (0.47-4.9)","0.47","0.49"
"G401565","1.1","2.9 (0.4-22)","1.1","0.29"
"G100128840","-0.49","0.61 (0.41-0.91)","5.9","0.015"
"G101929118","2.7","15 (2-120)","6.8","0.0092"
"G101928886","-0.8","0.45 (0.05-4)","0.51","0.48"
"G254099","0.77","2.2 (0.32-15)","0.62","0.43"
"G7772","-0.76","0.47 (0.039-5.6)","0.36","0.55"
"G83988","-0.32","0.73 (0.26-2)","0.37","0.54"
"G84073","-0.44","0.64 (0.08-5.2)","0.17","0.68"
"G101927157","-0.061","0.94 (0.052-17)","0","0.97"
"G100130285","-0.2","0.82 (0.17-4)","0.06","0.81"
"G101927379","0.34","1.4 (0.27-7.2)","0.17","0.68"
"G100885798","0.25","1.3 (0.087-19)","0.03","0.86"
"G652972","-0.81","0.44 (0.015-14)","0.22","0.64"
"G349408","-0.63","0.53 (0.14-2)","0.84","0.36"
"G101929081","1","2.7 (0.15-50)","0.47","0.5"
"G64800","-2","0.13 (0.0041-4.1)","1.3","0.25"
"G100506492","0.024","1 (0.82-1.3)","0.04","0.83"
"G101928389","0.59","1.8 (0.21-16)","0.28","0.6"
"G101927034","-0.89","0.41 (0.016-11)","0.29","0.59"
"G101927049","1.1","3 (0.16-57)","0.55","0.46"
"G100628307","1.1","2.9 (0.59-14)","1.7","0.19"
"G339568","0.36","1.4 (0.2-11)","0.13","0.72"
"G196074","-3.4","0.032 (0.00093-1.1)","3.6","0.057"
"G283089","0.074","1.1 (0.2-5.9)","0.01","0.93"
"G1656","-1.5","0.21 (0.06-0.77)","5.6","0.018"
"G339666","0.95","2.6 (0.31-21)","0.78","0.38"
"G339822","1.1","3.1 (0.44-21)","1.3","0.26"
"G347918","-0.37","0.69 (0.14-3.3)","0.21","0.65"
"G101929297","-2.9","0.056 (0.0022-1.4)","3.1","0.08"
"G9798","-0.22","0.8 (0.19-3.4)","0.09","0.76"
"G101928283","-0.2","0.82 (0.051-13)","0.02","0.89"
"G101928417","1.3","3.7 (0.25-55)","0.91","0.34"
"G101928271","-3.1","0.044 (0.0013-1.5)","3","0.081"
"G101929247","0.54","1.7 (0.29-10)","0.35","0.55"
"G101929239","0.17","1.2 (0.023-62)","0.01","0.93"
"G101929406","0.98","2.7 (0.51-14)","1.4","0.24"
"G101929517","0.44","1.6 (0.081-30)","0.09","0.77"
"G344454","0.071","1.1 (0.19-6.1)","0.01","0.94"
"G541471","0.98","2.7 (0.56-13)","1.5","0.22"
"G102723704","1.2","3.4 (0.33-35)","1.1","0.3"
"G100288238","0.12","1.1 (0.048-27)","0.01","0.94"
"G101929002","0.049","1.1 (0.12-9.3)","0","0.97"
"G112937","-0.13","0.88 (0.58-1.3)","0.41","0.52"
"G84269","-0.0064","0.99 (0.2-5.1)","0","0.99"
"G101927657","1.4","3.9 (0.56-28)","1.9","0.17"
"G101927502","-0.054","0.95 (0.071-13)","0","0.97"
"G400456","-0.086","0.92 (0.035-24)","0","0.96"
"G101927723","-0.75","0.47 (0.043-5.1)","0.38","0.54"
"G286042","-1.3","0.27 (0.016-4.4)","0.85","0.36"
"G340069","1.1","3 (0.43-21)","1.2","0.26"
"G339468","1.5","4.3 (0.44-43)","1.6","0.21"
"G554279","-0.53","0.59 (0.038-9.1)","0.14","0.7"
"G285590","1.2","3.3 (1.2-8.7)","5.6","0.018"
"G148231","1.2","3.4 (0.42-28)","1.3","0.25"
"G101927513","1.2","3.5 (1.1-11)","4.6","0.032"
"G100359394","-3","0.052 (0.00091-3)","2","0.15"
"G404636","-0.74","0.48 (0.13-1.7)","1.3","0.26"
"G441086","1.7","5.5 (1.1-28)","4.1","0.042"
"G101927279","-0.11","0.9 (0.67-1.2)","0.49","0.49"
"G101929133","1.7","5.3 (0.47-60)","1.8","0.18"
"G101928449","-2.3","0.1 (0.0037-2.9)","1.8","0.18"
"G340357","1.3","3.6 (0.83-15)","2.9","0.086"
"G101927648","-0.54","0.58 (0.077-4.4)","0.27","0.6"
"G100128788","0.29","1.3 (0.23-7.8)","0.1","0.75"
"G101927460","1.7","5.7 (0.52-62)","2","0.16"
"G729234","-0.83","0.43 (0.13-1.5)","1.8","0.18"
"G101929949","1","2.8 (0.24-32)","0.68","0.41"
"G100379174","-0.79","0.45 (0.036-5.8)","0.37","0.54"
"G286075","0.78","2.2 (0.41-12)","0.83","0.36"
"G101928160","0.78","2.2 (0.41-12)","0.83","0.36"
"G100874143","1.4","4 (0.14-110)","0.66","0.42"
"G101927210","1.7","5.4 (1.4-21)","5.9","0.015"
"G404201","-1.3","0.27 (0.065-1.2)","3.1","0.077"
"G338653","1.5","4.3 (0.44-42)","1.6","0.21"
"G101927095","1.7","5.7 (0.84-39)","3.2","0.074"
"G23268","-0.87","0.42 (0.093-1.9)","1.3","0.26"
"G101927371","-0.28","0.76 (0.05-11)","0.04","0.84"
"G503519","2.2","9.1 (1.5-57)","5.6","0.018"
"G101928201","0.026","1 (0.055-19)","0","0.99"
"G3043","-0.16","0.85 (0.59-1.2)","0.7","0.4"
"G101928795","2.5","12 (0.57-260)","2.6","0.11"
"G441025","0.73","2.1 (0.2-21)","0.38","0.54"
"G101928937","-0.052","0.95 (0.088-10)","0","0.97"
"G100861546","-2.8","0.061 (0.0017-2.2)","2.3","0.13"
"G23036","-0.41","0.66 (0.3-1.5)","1","0.31"
"G3687","1.1","3.1 (0.79-12)","2.6","0.11"
"G101929441","1.4","4 (0.75-22)","2.6","0.1"
"G101929241","-0.26","0.77 (0.092-6.5)","0.06","0.81"
"G100287877","1.5","4.6 (0.6-35)","2.2","0.14"
"G284930","0.77","2.2 (0.37-13)","0.73","0.39"
"G3696","0.32","1.4 (0.73-2.6)","0.97","0.32"
"G646522","0.14","1.2 (0.17-7.6)","0.02","0.88"
"G6209","1.4","4.3 (0.51-35)","1.8","0.18"
"G101928135","3.3","27 (3.4-210)","9.7","0.0019"
"G6910","0.44","1.5 (0.6-4)","0.8","0.37"
"G101927071","0.38","1.5 (0.34-6.3)","0.26","0.61"
"G347475","-0.91","0.4 (0.052-3.1)","0.77","0.38"
"G101927406","0.31","1.4 (0.099-19)","0.05","0.82"
"G2819","-1.3","0.27 (0.037-1.9)","1.7","0.19"
"G338694","0.58","1.8 (0.23-14)","0.31","0.58"
"G285375","-0.55","0.58 (0.074-4.6)","0.27","0.6"
"G101927865","1.9","6.5 (0.61-70)","2.4","0.12"
"G5007","1.5","4.3 (0.77-24)","2.8","0.097"
"G729083","-1.5","0.23 (0.015-3.5)","1.1","0.29"
"G340581","0.0039","1 (0.083-12)","0","1"
"G101927224","0.57","1.8 (0.37-8.4)","0.52","0.47"
"G101927313","1.7","5.7 (0.41-79)","1.7","0.19"
"G101929557","0.2","1.2 (0.17-8.8)","0.04","0.85"
"G100289061","0.046","1 (0.18-6.2)","0","0.96"
"G101927449","0.11","1.1 (0.17-7.1)","0.01","0.91"
"G255654","0.53","1.7 (0.25-11)","0.3","0.58"
"G100289058","0.97","2.6 (1.3-5.2)","7.6","0.006"
"G101929460","-0.68","0.51 (0.048-5.4)","0.32","0.57"
"G285045","0.48","1.6 (0.054-48)","0.08","0.78"
"G101928894","0.13","1.1 (0.28-4.7)","0.03","0.86"
"G284837","-0.56","0.57 (0.31-1.1)","3.1","0.077"
"G80125","1.1","3 (0.54-17)","1.6","0.21"
"G201625","-0.37","0.69 (0.22-2.2)","0.39","0.53"
"G91156","0.22","1.2 (0.12-13)","0.03","0.86"
"G101928646","-1.7","0.19 (0.0039-9)","0.72","0.4"
"G101927843","-0.59","0.55 (0.035-8.6)","0.18","0.67"
"G23352","2.1","8.3 (0.41-170)","1.9","0.17"
"G101927363","0.54","1.7 (0.11-27)","0.15","0.7"
"G388456","-0.83","0.44 (0.064-3)","0.72","0.4"
"G100652929","1.7","5.4 (0.76-38)","2.8","0.092"
"G100129029","-0.14","0.87 (0.47-1.6)","0.19","0.66"
"G100131270","-0.14","0.87 (0.47-1.6)","0.19","0.66"
"G101927650","-0.43","0.65 (0.087-4.9)","0.17","0.68"
"G101929265","0.9","2.4 (0.31-19)","0.72","0.4"
"G102723165","0.053","1.1 (0.22-5.2)","0","0.95"
"G101927616","0.65","1.9 (0.12-31)","0.21","0.65"
"G146664","1.7","5.7 (1.2-26)","5","0.026"
"G100507065","-0.62","0.54 (0.092-3.1)","0.47","0.49"
"G2160","-2.4","0.089 (0.0021-3.7)","1.6","0.2"
"G101927508","-0.33","0.72 (0.036-14)","0.05","0.83"
"G101928978","-0.0066","0.99 (0.094-10)","0","1"
"G100856811","0.74","2.1 (0.27-16)","0.5","0.48"
"G101927059","1.7","5.2 (0.44-62)","1.7","0.19"
"G101927422","-0.74","0.48 (0.077-2.9)","0.64","0.42"
"G101929620","-0.32","0.73 (0.059-8.9)","0.06","0.8"
"G101930566","0.67","2 (0.11-35)","0.21","0.65"
"G102800447","0.67","2 (0.11-35)","0.21","0.65"
"G102723448","-0.02","0.98 (0.051-19)","0","0.99"
"G199692","0.61","1.8 (0.4-8.3)","0.62","0.43"
"G101056700","0.0025","1 (0.11-9.1)","0","1"
"G414300","-1.6","0.21 (0.01-4.3)","1","0.31"
"G51643","-0.52","0.59 (0.17-2)","0.68","0.41"
"G124565","0.88","2.4 (0.47-12)","1.1","0.29"
"G406948","0.064","1.1 (0.34-3.4)","0.01","0.91"
"G101927018","0.37","1.4 (0.063-33)","0.05","0.82"
"G100874063","0.19","1.2 (0.1-14)","0.02","0.88"
"G100270679","4.5","91 (3-2800)","6.7","0.0097"
"G101927526","1.1","3 (0.72-12)","2.2","0.13"
"G101927362","0.31","1.4 (0.26-7.2)","0.14","0.71"
"G2065","-0.28","0.76 (0.32-1.8)","0.41","0.52"
"G414319","0.14","1.1 (0.12-11)","0.01","0.91"
"G101927219","0.45","1.6 (0.061-41)","0.07","0.79"
"G54885","-0.65","0.52 (0.2-1.3)","1.8","0.17"
"G101929269","0.14","1.1 (0.25-5.3)","0.03","0.86"
"G101927247","0.56","1.7 (0.37-8.2)","0.5","0.48"
"G101929019","0.9","2.5 (0.19-32)","0.47","0.49"
"G100861573","2","7.2 (0.58-88)","2.4","0.12"
"G101927331","0.076","1.1 (0.078-15)","0","0.95"
"G101929584","-0.22","0.8 (0.12-5.5)","0.05","0.82"
"G101927534","-0.25","0.78 (0.12-5.3)","0.06","0.8"
"G100852409","0.32","1.4 (0.22-8.8)","0.12","0.73"
"G79917","-0.59","0.56 (0.11-2.8)","0.5","0.48"
"G8028","-0.66","0.52 (0.087-3.1)","0.52","0.47"
"G100129603","1.1","3 (0.46-20)","1.3","0.25"
"G724087","-0.52","0.59 (0.11-3.2)","0.37","0.54"
"G345611","-0.29","0.75 (0.044-13)","0.04","0.84"
"G101927783","-0.77","0.46 (0.061-3.5)","0.55","0.46"
"G54476","1.3","3.7 (0.51-26)","1.7","0.2"
"G266918","0.19","1.2 (0.26-5.5)","0.06","0.81"
"G100128977","0.99","2.7 (0.31-23)","0.82","0.37"
"G100287569","-0.74","0.48 (0.13-1.7)","1.3","0.26"
"G101928813","-0.6","0.55 (0.048-6.2)","0.24","0.63"
"G101929167","-2.4","0.092 (0.0023-3.7)","1.6","0.21"
"G731223","0.62","1.9 (0.2-17)","0.3","0.58"
"G266919","2.1","8.1 (0.29-220)","1.5","0.22"
"G101927761","-0.55","0.58 (0.052-6.5)","0.2","0.66"
"G101927553","0.5","1.7 (0.12-22)","0.14","0.7"
"G496","-0.14","0.87 (0.11-6.9)","0.02","0.89"
"G100132596","1.1","3 (0.45-20)","1.3","0.25"
"G101928031","0.58","1.8 (0.19-17)","0.26","0.61"
"G1518","0.23","1.3 (0.67-2.3)","0.52","0.47"
"G245910","-1.1","0.33 (0.018-6.2)","0.55","0.46"
"G503614","-1.1","0.33 (0.018-6.2)","0.55","0.46"
"G55553","0.41","1.5 (0.56-4)","0.66","0.42"
"G55742","0.67","2 (0.6-6.4)","1.2","0.27"
"G4638","0.48","1.6 (0.66-3.9)","1.1","0.3"
"G57724","1.6","4.8 (0.8-28)","3","0.086"
"G85379","-0.28","0.75 (0.27-2.1)","0.29","0.59"
"G101927766","1.6","4.8 (0.62-38)","2.2","0.13"
"G114795","0.53","1.7 (0.075-38)","0.11","0.74"
"G285638","0.47","1.6 (0.25-10)","0.25","0.62"
"G7955","0.15","1.2 (0.046-29)","0.01","0.93"
"G283130","-0.3","0.74 (0.26-2.1)","0.3","0.58"
"G51201","-0.57","0.56 (0.26-1.2)","2","0.16"
"G401282","0.0036","1 (0.15-6.7)","0","1"
"G9722","-0.12","0.89 (0.37-2.1)","0.08","0.78"
"G94121","0.82","2.3 (0.48-11)","1.1","0.3"
"G79817","-0.063","0.94 (0.44-2)","0.03","0.87"
"G1662","-1.5","0.23 (0.045-1.2)","3","0.081"
"G319085","1.1","3.1 (1.1-8.3)","4.9","0.027"
"G91149","3","20 (1.6-240)","5.5","0.019"
"G256158","0.95","2.6 (0.45-15)","1.1","0.29"
"G339896","0.35","1.4 (0.25-8.1)","0.15","0.7"
"G57719","0.46","1.6 (0.69-3.6)","1.2","0.27"
"G342184","-1.1","0.32 (0.027-3.9)","0.8","0.37"
"G55036","-0.066","0.94 (0.13-6.5)","0","0.95"
"G3633","-1.5","0.23 (0.057-0.96)","4.1","0.043"
"G100874187","-1.1","0.32 (0.018-5.8)","0.59","0.44"
"G285463","0.35","1.4 (0.16-13)","0.1","0.75"
"G152274","-1.1","0.34 (0.018-6.1)","0.55","0.46"
"G285456","-0.43","0.65 (0.042-10)","0.09","0.76"
"G401324","-2.8","0.059 (0.0033-1)","3.7","0.053"
"G1002","1","2.8 (1-7.6)","4","0.045"
"G340184","1.3","3.8 (0.12-120)","0.57","0.45"
"G861","-0.26","0.77 (0.075-7.9)","0.05","0.83"
"G100506403","-0.26","0.77 (0.075-7.9)","0.05","0.83"
"G101928269","-0.27","0.76 (0.076-7.7)","0.05","0.82"
"G9901","0.83","2.3 (0.51-10)","1.2","0.28"
"G286359","1.4","4.2 (0.22-81)","0.9","0.34"
"G57582","0.4","1.5 (0.12-18)","0.1","0.75"
"G157273","1.6","4.7 (0.37-60)","1.4","0.23"
"G8945","0.76","2.1 (0.16-29)","0.32","0.57"
"G220980","-0.38","0.68 (0.096-4.9)","0.15","0.7"
"G101928153","-0.44","0.64 (0.16-2.6)","0.38","0.54"
"G729652","-4.3","0.013 (0.00044-0.4)","6.2","0.013"
"G780776","0.1","1.1 (0.29-4.3)","0.02","0.88"
"G124460","-0.051","0.95 (0.32-2.8)","0.01","0.93"
"G619427","0.85","2.4 (0.3-19)","0.66","0.42"
"G7139","-0.93","0.39 (0.06-2.6)","0.94","0.33"
"G23129","0.32","1.4 (0.47-4)","0.35","0.56"
"G55008","-0.26","0.77 (0.27-2.2)","0.22","0.64"
"G285778","1.1","3 (0.23-38)","0.7","0.4"
"G222696","1.8","5.9 (0.61-58)","2.4","0.12"
"G79368","0.23","1.3 (0.4-3.9)","0.15","0.7"
"G50937","0.54","1.7 (0.43-6.9)","0.59","0.44"
"G150577","0.54","1.7 (0.14-21)","0.18","0.67"
"G284950","-1.3","0.27 (0.014-5.3)","0.74","0.39"
"G285422","0.34","1.4 (0.14-14)","0.08","0.78"
"G285300","-0.76","0.47 (0.067-3.2)","0.6","0.44"
"G3295","-0.83","0.43 (0.14-1.4)","2","0.16"
"G94097","1.1","2.9 (0.47-18)","1.3","0.25"
"G100127955","0.11","1.1 (0.2-6.3)","0.02","0.9"
"G100128374","0.11","1.1 (0.2-6.3)","0.02","0.9"
"G643650","2.2","9.2 (1.4-62)","5.2","0.022"
"G439927","-0.47","0.63 (0.073-5.4)","0.18","0.67"
"G27185","1","2.8 (0.77-10)","2.5","0.12"
"G283050","-0.81","0.44 (0.12-1.6)","1.5","0.22"
"G671","1","2.8 (0.22-35)","0.62","0.43"
"G149684","1","2.8 (0.22-35)","0.62","0.43"
"G728116","2.5","12 (2.1-66)","8","0.0048"
"G101929073","0.68","2 (0.066-60)","0.15","0.69"
"G100507283","1","2.8 (0.17-45)","0.5","0.48"
"G285782","1.2","3.5 (0.06-200)","0.36","0.55"
"G81693","0.0051","1 (0.26-3.8)","0","0.99"
"G100130278","0.8","2.2 (0.37-13)","0.76","0.38"
