"","beta","HR (95% CI for HR)","wald.test","p.value"
"G80309","0.14","1.1 (0.96-1.4)","2.3","0.13"
"G7150","-0.15","0.86 (0.46-1.6)","0.21","0.65"
"G403282","-2.2","0.11 (0.026-0.43)","9.8","0.0017"
"G23064","0.019","1 (0.64-1.6)","0.01","0.93"
"G53344","-0.21","0.81 (0.38-1.7)","0.31","0.58"
"G57477","0.054","1.1 (0.76-1.5)","0.1","0.75"
"G2124","-0.43","0.65 (0.42-1)","3.8","0.052"
"G284415","-0.71","0.49 (0.21-1.1)","2.8","0.097"
"G284439","0.034","1 (0.62-1.7)","0.02","0.9"
"G652870","0.19","1.2 (0.56-2.7)","0.23","0.63"
"G1493","-0.13","0.88 (0.6-1.3)","0.41","0.52"
"G1159","0.15","1.2 (0.96-1.4)","2.5","0.12"
"G27197","0.58","1.8 (0.71-4.5)","1.5","0.22"
"G6691","-0.0026","1 (0.69-1.4)","0","0.99"
"G3035","-0.37","0.69 (0.37-1.3)","1.4","0.24"
"G84445","0.027","1 (0.64-1.7)","0.01","0.91"
"G197021","0.34","1.4 (0.93-2.1)","2.6","0.11"
"G51124","0.18","1.2 (0.89-1.6)","1.4","0.23"
"G23198","0.032","1 (0.53-2)","0.01","0.92"
"G84807","0.44","1.6 (0.9-2.7)","2.5","0.11"
"G64102","-0.014","0.99 (0.77-1.3)","0.01","0.91"
"G23090","0.12","1.1 (0.82-1.6)","0.58","0.45"
"G283635","0.43","1.5 (0.82-2.9)","1.8","0.18"
"G782","0.13","1.1 (0.27-4.8)","0.03","0.85"
"G11083","-0.034","0.97 (0.48-2)","0.01","0.92"
"G85413","0.17","1.2 (0.81-1.7)","0.78","0.38"
"G121256","0.13","1.1 (0.91-1.4)","1.3","0.25"
"G644299","0.99","2.7 (0.94-7.7)","3.4","0.066"
"G5195","-0.11","0.89 (0.54-1.5)","0.2","0.65"
"G9711","-0.38","0.68 (0.45-1)","3.1","0.078"
"G8412","-0.14","0.87 (0.61-1.2)","0.64","0.42"
"G57701","-0.031","0.97 (0.7-1.3)","0.04","0.85"
"G80110","0.077","1.1 (0.67-1.7)","0.1","0.75"
"G163486","-0.19","0.83 (0.38-1.8)","0.22","0.64"
"G80319","0.19","1.2 (0.94-1.5)","2.2","0.13"
"G83941","0.49","1.6 (0.98-2.7)","3.5","0.06"
"G651212","-0.014","0.99 (0.5-2)","0","0.97"
"G124944","-0.67","0.51 (0.27-0.96)","4.4","0.037"
"G89970","-0.009","0.99 (0.53-1.9)","0","0.98"
"G84688","0.016","1 (0.82-1.3)","0.02","0.88"
"G8786","-0.046","0.96 (0.7-1.3)","0.08","0.78"
"G81490","-0.019","0.98 (0.62-1.5)","0.01","0.93"
"G403284","-0.48","0.62 (0.18-2.1)","0.57","0.45"
"G26060","0.29","1.3 (0.75-2.4)","0.99","0.32"
"G23091","-0.31","0.73 (0.32-1.7)","0.54","0.46"
"G6650","-0.18","0.83 (0.6-1.1)","1.3","0.26"
"G79616","-0.13","0.88 (0.68-1.1)","1","0.31"
"G651754","-0.9","0.41 (0.15-1.1)","3.1","0.077"
"G2980","-0.38","0.68 (0.41-1.1)","2.2","0.14"
"G643626","0.078","1.1 (0.39-3)","0.02","0.88"
"G11035","0.052","1.1 (0.63-1.8)","0.04","0.84"
"G646596","-0.47","0.62 (0.25-1.5)","1","0.31"
"G644065","-0.62","0.54 (0.24-1.2)","2.3","0.13"
"G1769","0.3","1.3 (0.6-3)","0.53","0.47"
"G151742","0.72","2.1 (1.2-3.5)","7.2","0.0072"
"G651612","0.65","1.9 (0.88-4.2)","2.7","0.1"
"G4520","-0.2","0.82 (0.37-1.8)","0.25","0.62"
"G333","-0.039","0.96 (0.66-1.4)","0.04","0.84"
"G290","-0.23","0.79 (0.64-0.97)","4.9","0.027"
"G138428","0.042","1 (0.61-1.8)","0.02","0.88"
"G133690","0.14","1.1 (0.8-1.7)","0.54","0.46"
"G32","-0.055","0.95 (0.64-1.4)","0.08","0.78"
"G23","0.062","1.1 (0.44-2.6)","0.02","0.89"
"G81602","0.49","1.6 (0.85-3.1)","2.2","0.14"
"G388692","-0.39","0.68 (0.4-1.2)","2","0.16"
"G337970","0.12","1.1 (0.51-2.5)","0.08","0.77"
"G51025","-0.41","0.67 (0.38-1.2)","2.1","0.15"
"G284297","0.022","1 (0.78-1.3)","0.02","0.88"
"G387103","0.21","1.2 (0.92-1.7)","1.9","0.17"
"G91","-0.27","0.76 (0.23-2.5)","0.2","0.65"
"G54839","-0.071","0.93 (0.64-1.4)","0.13","0.71"
"G653119","-0.055","0.95 (0.62-1.4)","0.06","0.8"
"G649162","0.82","2.3 (0.91-5.6)","3.1","0.078"
"G400797","0.18","1.2 (0.66-2.2)","0.36","0.55"
"G11231","0.42","1.5 (0.75-3.1)","1.4","0.25"
"G283742","-1.4","0.26 (0.081-0.81)","5.4","0.021"
"G441282","0.18","1.2 (0.96-1.5)","2.6","0.1"
"G5348","0.24","1.3 (0.75-2.2)","0.79","0.37"
"G339059","0.016","1 (0.66-1.6)","0.01","0.94"
"G2829","-0.71","0.49 (0.16-1.5)","1.6","0.2"
"G9934","-0.29","0.75 (0.24-2.3)","0.25","0.62"
"G653541","-0.039","0.96 (0.43-2.1)","0.01","0.92"
"G150465","0.56","1.8 (0.95-3.2)","3.2","0.072"
"G284433","-0.58","0.56 (0.13-2.4)","0.59","0.44"
"G1961","0.22","1.2 (0.58-2.7)","0.32","0.57"
"G2160","-0.49","0.61 (0.29-1.3)","1.6","0.2"
"G154141","0.88","2.4 (0.95-6.2)","3.4","0.065"
"G650851","0.0076","1 (0.45-2.3)","0","0.99"
"G22864","-0.19","0.82 (0.5-1.4)","0.56","0.45"
"G641785","0.13","1.1 (0.77-1.7)","0.41","0.52"
"G883","-0.16","0.85 (0.56-1.3)","0.53","0.47"
"G51214","-0.93","0.39 (0.17-0.92)","4.6","0.032"
"G646036","-0.097","0.91 (0.32-2.6)","0.03","0.85"
"G57555","-0.24","0.79 (0.53-1.2)","1.5","0.23"
"G201292","-0.034","0.97 (0.6-1.6)","0.02","0.89"
"G6814","0.19","1.2 (0.72-2)","0.5","0.48"
"G2819","0.057","1.1 (0.62-1.8)","0.04","0.84"
"G3720","-0.15","0.86 (0.49-1.5)","0.27","0.6"
"G55664","-0.049","0.95 (0.37-2.4)","0.01","0.92"
"G203238","-0.13","0.88 (0.63-1.2)","0.55","0.46"
"G4133","-0.19","0.83 (0.54-1.3)","0.76","0.38"
"G55197","0.071","1.1 (0.66-1.7)","0.08","0.77"
"G338674","0.46","1.6 (0.52-4.8)","0.64","0.42"
"G642405","-0.33","0.72 (0.31-1.7)","0.61","0.43"
"G1601","0.034","1 (0.72-1.5)","0.03","0.85"
"G84572","-0.18","0.83 (0.51-1.4)","0.5","0.48"
"G23203","-0.21","0.81 (0.47-1.4)","0.58","0.45"
"G29018","0.86","2.4 (1.2-4.8)","5.6","0.018"
"G255649","0.3","1.3 (0.58-3.1)","0.48","0.49"
"G85013","0.081","1.1 (0.71-1.6)","0.14","0.7"
"G1160","-0.053","0.95 (0.72-1.2)","0.15","0.7"
"G30010","0.5","1.7 (0.95-2.9)","3.2","0.075"
"G382","0.29","1.3 (0.67-2.7)","0.66","0.42"
"G648639","-0.32","0.73 (0.47-1.1)","2","0.16"
"G391429","0.15","1.2 (0.66-2.1)","0.27","0.6"
"G124","0.003","1 (0.86-1.2)","0","0.97"
"G647468","-0.59","0.55 (0.22-1.4)","1.6","0.2"
"G2245","0.18","1.2 (0.96-1.5)","2.6","0.11"
"G541565","0.17","1.2 (0.73-1.9)","0.45","0.5"
"G122970","-0.071","0.93 (0.66-1.3)","0.17","0.68"
"G80824","0.057","1.1 (0.66-1.7)","0.05","0.81"
"G55646","-0.28","0.76 (0.44-1.3)","1","0.31"
"G652342","-0.077","0.93 (0.51-1.7)","0.06","0.8"
"G51228","-0.48","0.62 (0.27-1.4)","1.3","0.26"
"G57192","0.089","1.1 (0.66-1.8)","0.12","0.73"
"G9759","0.43","1.5 (1.1-2.2)","6.2","0.013"
"G51175","0.49","1.6 (0.9-3)","2.6","0.11"
"G64184","0.22","1.2 (0.52-3)","0.24","0.63"
"G83606","0.02","1 (0.52-2)","0","0.95"
"G6655","-0.15","0.86 (0.59-1.3)","0.59","0.44"
"G650458","-0.27","0.77 (0.34-1.7)","0.42","0.51"
"G10980","-0.34","0.71 (0.33-1.5)","0.75","0.38"
"G650227","-0.065","0.94 (0.55-1.6)","0.06","0.81"
"G653520","-0.48","0.62 (0.32-1.2)","2.1","0.15"
"G9895","0.42","1.5 (0.82-2.8)","1.8","0.19"
"G339766","-0.27","0.76 (0.53-1.1)","2.1","0.15"
"G651914","0.66","1.9 (0.88-4.2)","2.7","0.1"
"G5670","0.34","1.4 (0.31-6.3)","0.2","0.66"
"G26608","-0.11","0.9 (0.61-1.3)","0.28","0.59"
"G498","0.12","1.1 (0.65-2)","0.19","0.66"
"G652741","-0.62","0.54 (0.22-1.3)","1.8","0.17"
"G55845","-0.047","0.95 (0.67-1.4)","0.07","0.8"
"G85006","-0.026","0.97 (0.72-1.3)","0.03","0.87"
"G5753","0.088","1.1 (0.85-1.4)","0.47","0.49"
"G390113","-0.28","0.75 (0.29-2)","0.33","0.57"
"G64327","0.051","1.1 (0.8-1.4)","0.13","0.71"
"G652515","-0.29","0.75 (0.35-1.6)","0.54","0.46"
"G652783","-0.2","0.82 (0.38-1.7)","0.28","0.6"
"G161247","0.16","1.2 (0.79-1.7)","0.67","0.41"
"G7503","-0.054","0.95 (0.84-1.1)","0.77","0.38"
"G4242","-0.05","0.95 (0.66-1.4)","0.07","0.79"
"G2251","-0.82","0.44 (0.13-1.5)","1.7","0.19"
"G54577","-0.028","0.97 (0.63-1.5)","0.02","0.9"
"G390079","0.66","1.9 (0.65-5.7)","1.4","0.24"
"G23131","0.12","1.1 (0.66-1.9)","0.2","0.65"
"G400242","-0.07","0.93 (0.66-1.3)","0.16","0.69"
"G11313","0.15","1.2 (0.67-2)","0.3","0.58"
"G23516","0.24","1.3 (0.89-1.8)","1.7","0.19"
"G202459","0.38","1.5 (0.91-2.3)","2.5","0.11"
"G647993","0.33","1.4 (0.8-2.4)","1.4","0.24"
"G4922","0.25","1.3 (0.98-1.7)","3.2","0.072"
"G653741","0.21","1.2 (0.5-3)","0.21","0.65"
"G57677","0.0051","1 (0.71-1.4)","0","0.98"
"G441294","-0.13","0.88 (0.58-1.3)","0.35","0.56"
"G9935","-0.02","0.98 (0.74-1.3)","0.02","0.89"
"G55908","-0.27","0.76 (0.4-1.5)","0.64","0.42"
"G6132","0.14","1.2 (0.77-1.7)","0.49","0.49"
"G285590","-0.011","0.99 (0.73-1.3)","0.01","0.94"
"G652640","0.16","1.2 (0.67-2.1)","0.32","0.57"
"G8994","-0.18","0.84 (0.41-1.7)","0.23","0.63"
"G10267","-0.16","0.85 (0.71-1)","2.6","0.1"
"G643258","-0.41","0.66 (0.25-1.8)","0.69","0.41"
"G84939","0.18","1.2 (0.74-1.9)","0.54","0.46"
"G92106","-0.2","0.82 (0.58-1.1)","1.4","0.24"
"G4678","-0.093","0.91 (0.4-2.1)","0.05","0.83"
"G55530","-0.0087","0.99 (0.65-1.5)","0","0.97"
"G619207","-0.012","0.99 (0.31-3.2)","0","0.98"
"G7133","0.019","1 (0.74-1.4)","0.01","0.91"
"G5690","0.084","1.1 (0.63-1.9)","0.09","0.77"
"G56776","-0.12","0.89 (0.45-1.7)","0.13","0.72"
"G2741","0.73","2.1 (0.98-4.4)","3.6","0.057"
"G285047","-0.19","0.83 (0.49-1.4)","0.51","0.48"
"G55234","-0.11","0.9 (0.65-1.2)","0.42","0.51"
"G145173","-0.12","0.89 (0.61-1.3)","0.39","0.53"
"G648801","0.28","1.3 (0.63-2.7)","0.55","0.46"
"G7030","0.21","1.2 (0.63-2.4)","0.38","0.54"
"G112858","0.16","1.2 (0.79-1.7)","0.6","0.44"
"G388561","0.22","1.2 (0.89-1.8)","1.6","0.21"
"G51015","-0.054","0.95 (0.68-1.3)","0.1","0.75"
"G649431","-0.77","0.46 (0.24-0.88)","5.6","0.018"
"G1994","0.11","1.1 (0.74-1.7)","0.28","0.59"
"G164312","-0.096","0.91 (0.77-1.1)","1.3","0.25"
"G399936","0.066","1.1 (0.42-2.7)","0.02","0.89"
"G171017","-0.07","0.93 (0.5-1.7)","0.05","0.83"
"G11135","0.17","1.2 (0.78-1.8)","0.62","0.43"
"G648596","-0.36","0.7 (0.31-1.6)","0.76","0.38"
"G653562","-0.76","0.47 (0.15-1.5)","1.6","0.2"
"G8943","0.019","1 (0.39-2.7)","0","0.97"
"G158297","0.074","1.1 (0.5-2.3)","0.04","0.85"
"G3460","-0.82","0.44 (0.22-0.87)","5.6","0.018"
"G388259","0.96","2.6 (1.1-6.2)","4.6","0.032"
"G643556","-0.091","0.91 (0.45-1.8)","0.06","0.8"
"G221037","-0.025","0.98 (0.59-1.6)","0.01","0.92"
"G5265","0.13","1.1 (0.88-1.5)","0.93","0.33"
"G128312","-0.43","0.65 (0.34-1.3)","1.6","0.2"
"G7579","-0.89","0.41 (0.19-0.87)","5.4","0.021"
"G24142","-0.52","0.6 (0.4-0.9)","6.2","0.013"
"G442425","0.53","1.7 (0.8-3.6)","1.9","0.17"
"G1292","-0.048","0.95 (0.66-1.4)","0.07","0.8"
"G22908","0.03","1 (0.63-1.7)","0.02","0.9"
"G8940","-0.42","0.66 (0.42-1)","3.2","0.075"
"G440993","-0.024","0.98 (0.77-1.2)","0.04","0.85"
"G399967","0.18","1.2 (0.53-2.7)","0.18","0.67"
"G6169","-0.066","0.94 (0.63-1.4)","0.11","0.74"
"G51076","-0.42","0.66 (0.43-1)","3.6","0.059"
"G55030","-0.18","0.84 (0.49-1.4)","0.44","0.51"
"G165140","0.089","1.1 (0.67-1.8)","0.13","0.72"
"G651951","0.22","1.3 (0.58-2.7)","0.32","0.57"
"G3891","0.14","1.1 (0.56-2.3)","0.14","0.71"
"G55198","0.29","1.3 (0.7-2.5)","0.76","0.38"
"G8241","-0.052","0.95 (0.41-2.2)","0.01","0.9"
"G51605","0.22","1.2 (0.77-2)","0.79","0.37"
"G54882","-1.1","0.35 (0.12-0.98)","4","0.046"
"G10047","0.35","1.4 (0.51-4)","0.44","0.51"
"G8718","-0.063","0.94 (0.6-1.5)","0.07","0.78"
"G196743","-0.45","0.64 (0.34-1.2)","1.9","0.17"
"G641365","0.025","1 (0.64-1.7)","0.01","0.92"
"G3455","-0.73","0.48 (0.23-1)","3.9","0.049"
"G255520","0.031","1 (0.66-1.6)","0.02","0.89"
"G55796","-0.26","0.77 (0.4-1.5)","0.62","0.43"
"G3972","0.35","1.4 (0.92-2.2)","2.5","0.11"
"G399671","0.59","1.8 (0.91-3.6)","2.9","0.09"
"G6767","0.38","1.5 (0.83-2.6)","1.7","0.19"
"G56981","-0.00078","1 (0.46-2.2)","0","1"
"G79587","0.43","1.5 (1-2.3)","4.2","0.04"
"G50674","-0.35","0.7 (0.29-1.7)","0.61","0.44"
"G51550","-0.19","0.83 (0.57-1.2)","0.94","0.33"
"G3133","0.076","1.1 (0.74-1.6)","0.16","0.69"
"G11131","0.17","1.2 (0.77-1.8)","0.57","0.45"
"G147990","0.29","1.3 (0.74-2.4)","0.91","0.34"
"G387590","-0.46","0.63 (0.27-1.5)","1.1","0.29"
"G140597","0.04","1 (0.88-1.2)","0.21","0.64"
"G26519","-0.0089","0.99 (0.66-1.5)","0","0.97"
"G441666","-0.31","0.73 (0.32-1.6)","0.57","0.45"
"G27035","-0.21","0.81 (0.25-2.6)","0.12","0.73"
"G1825","0.17","1.2 (0.86-1.6)","1.1","0.3"
"G55692","0.058","1.1 (0.56-2)","0.03","0.86"
"G649939","0.64","1.9 (1.1-3.3)","5.2","0.022"
"G58490","0.5","1.7 (0.5-5.5)","0.67","0.41"
"G54700","0.29","1.3 (0.87-2)","1.8","0.18"
"G8027","0.081","1.1 (0.68-1.7)","0.12","0.73"
"G10741","-0.11","0.89 (0.47-1.7)","0.12","0.73"
"G254187","-0.055","0.95 (0.48-1.9)","0.03","0.87"
"G84808","-0.4","0.67 (0.28-1.6)","0.85","0.36"
"G390061","-0.11","0.9 (0.43-1.9)","0.09","0.77"
"G2014","-0.2","0.82 (0.6-1.1)","1.6","0.2"
"G651685","-0.091","0.91 (0.37-2.3)","0.04","0.84"
"G57463","0.028","1 (0.58-1.8)","0.01","0.92"
"G442147","0.31","1.4 (0.5-3.7)","0.37","0.54"
"G92799","-0.28","0.75 (0.48-1.2)","1.6","0.21"
"G123803","0.51","1.7 (0.72-3.9)","1.4","0.24"
"G4731","0.16","1.2 (0.66-2.1)","0.29","0.59"
"G84153","0.28","1.3 (0.76-2.3)","0.97","0.33"
"G4528","0.52","1.7 (0.54-5.2)","0.8","0.37"
"G5496","-0.0069","0.99 (0.45-2.2)","0","0.99"
"G54472","-0.15","0.86 (0.51-1.5)","0.31","0.58"
"G644137","0.081","1.1 (0.49-2.4)","0.04","0.84"
"G7936","-0.12","0.89 (0.57-1.4)","0.26","0.61"
"G3660","0.21","1.2 (0.5-3)","0.21","0.64"
"G57594","0.0021","1 (0.53-1.9)","0","0.99"
"G25903","0.085","1.1 (0.81-1.5)","0.31","0.58"
"G4862","0.097","1.1 (0.82-1.5)","0.42","0.52"
"G25976","-0.12","0.89 (0.62-1.3)","0.39","0.53"
"G79041","-0.12","0.89 (0.48-1.6)","0.15","0.7"
"G346","-0.2","0.82 (0.35-1.9)","0.22","0.64"
"G6530","-0.18","0.83 (0.41-1.7)","0.26","0.61"
"G646665","-0.74","0.48 (0.21-1.1)","3.2","0.073"
"G338751","-0.8","0.45 (0.15-1.3)","2.1","0.14"
"G347169","0.17","1.2 (0.46-3.1)","0.13","0.72"
"G222008","0.57","1.8 (0.92-3.4)","2.9","0.087"
"G3068","-0.089","0.91 (0.53-1.6)","0.1","0.75"
"G155019","0.28","1.3 (0.79-2.2)","1.1","0.3"
"G80164","-0.04","0.96 (0.74-1.3)","0.09","0.76"
"G642773","0.13","1.1 (0.59-2.2)","0.14","0.71"
"G10371","-0.13","0.88 (0.61-1.3)","0.47","0.49"
"G54951","0.4","1.5 (0.82-2.7)","1.7","0.19"
"G146853","-0.38","0.68 (0.32-1.5)","0.98","0.32"
"G3661","-0.24","0.79 (0.47-1.3)","0.82","0.37"
"G652408","-0.038","0.96 (0.43-2.1)","0.01","0.93"
"G53833","0.017","1 (0.81-1.3)","0.02","0.89"
"G285216","-0.15","0.86 (0.43-1.7)","0.17","0.68"
"G130540","0.74","2.1 (1-4.3)","4","0.045"
"G648025","0.17","1.2 (0.7-2)","0.4","0.53"
"G125988","0.28","1.3 (0.79-2.2)","1.1","0.29"
"G120126","-0.23","0.79 (0.5-1.3)","0.93","0.34"
"G10056","-0.3","0.74 (0.31-1.7)","0.47","0.49"
"G399942","0.24","1.3 (0.97-1.7)","3.1","0.079"
"G984","0.2","1.2 (0.44-3.4)","0.15","0.7"
"G155370","-0.19","0.82 (0.57-1.2)","1.1","0.29"
"G84441","0.02","1 (0.63-1.7)","0.01","0.93"
"G90655","-0.06","0.94 (0.39-2.3)","0.02","0.89"
"G84826","0.038","1 (0.73-1.5)","0.04","0.83"
"G10388","-0.35","0.71 (0.47-1.1)","2.9","0.09"
"G53904","0.53","1.7 (1-2.8)","4.6","0.033"
"G401124","-0.14","0.87 (0.64-1.2)","0.79","0.37"
"G6868","0.72","2 (1-4.1)","4.1","0.043"
"G286234","0.43","1.5 (0.8-3)","1.7","0.2"
"G2026","0.085","1.1 (0.77-1.5)","0.22","0.64"
"G2548","-0.063","0.94 (0.61-1.4)","0.08","0.77"
"G114803","0.26","1.3 (0.71-2.3)","0.72","0.4"
"G80344","-0.13","0.88 (0.42-1.9)","0.11","0.74"
"G57532","0.0078","1 (0.54-1.9)","0","0.98"
"G9351","-0.27","0.76 (0.55-1.1)","2.7","0.099"
"G8717","-0.063","0.94 (0.51-1.7)","0.04","0.84"
"G51719","-0.2","0.82 (0.46-1.4)","0.48","0.49"
"G139818","-0.22","0.8 (0.58-1.1)","1.9","0.16"
"G23094","-0.15","0.86 (0.52-1.4)","0.37","0.54"
"G83478","-0.22","0.81 (0.54-1.2)","1.1","0.29"
"G392563","-0.011","0.99 (0.49-2)","0","0.98"
"G79650","0.23","1.3 (0.68-2.3)","0.56","0.46"
"G651807","0.032","1 (0.57-1.9)","0.01","0.91"
"G340784","0.011","1 (0.36-2.8)","0","0.98"
"G3293","0.45","1.6 (0.93-2.6)","2.8","0.092"
"G1114","0.066","1.1 (0.93-1.2)","0.83","0.36"
"G116255","0.058","1.1 (0.77-1.5)","0.12","0.73"
"G147645","0.024","1 (0.79-1.3)","0.03","0.86"
"G3626","0.64","1.9 (0.85-4.3)","2.4","0.12"
"G127343","0.25","1.3 (0.84-2)","1.4","0.24"
"G81030","-0.16","0.86 (0.57-1.3)","0.59","0.44"
"G135293","0.099","1.1 (0.79-1.5)","0.33","0.57"
"G8565","-0.076","0.93 (0.41-2.1)","0.03","0.86"
"G399949","0.003","1 (0.87-1.2)","0","0.97"
"G51100","0.44","1.5 (0.79-3)","1.6","0.2"
"G19","0.018","1 (0.62-1.7)","0.01","0.94"
"G6819","-0.039","0.96 (0.76-1.2)","0.11","0.74"
"G5966","0.29","1.3 (0.88-2)","1.8","0.18"
"G391211","-0.94","0.39 (0.12-1.3)","2.4","0.12"
"G158747","0.15","1.2 (0.53-2.6)","0.15","0.7"
"G338567","0.018","1 (0.54-1.9)","0","0.96"
"G79666","0.62","1.9 (1-3.5)","3.9","0.049"
"G648329","-0.49","0.61 (0.23-1.6)","1","0.32"
"G2272","-0.056","0.95 (0.6-1.5)","0.06","0.81"
"G9361","-0.25","0.78 (0.41-1.5)","0.63","0.43"
"G90326","0.47","1.6 (0.76-3.4)","1.5","0.22"
"G10335","0.31","1.4 (0.77-2.4)","1.1","0.29"
"G54531","-0.18","0.84 (0.56-1.2)","0.77","0.38"
"G586","-0.0041","1 (0.8-1.2)","0","0.97"
"G11267","0.25","1.3 (0.78-2.1)","0.98","0.32"
"G5906","-0.03","0.97 (0.6-1.6)","0.01","0.9"
"G51233","-0.49","0.62 (0.33-1.2)","2.3","0.13"
"G2781","-0.044","0.96 (0.48-1.9)","0.02","0.9"
"G653135","-0.6","0.55 (0.24-1.3)","1.9","0.17"
"G148156","-0.091","0.91 (0.61-1.4)","0.19","0.66"
"G652607","-0.41","0.66 (0.4-1.1)","2.4","0.12"
"G51063","-0.0025","1 (0.68-1.5)","0","0.99"
"G170589","0.078","1.1 (0.53-2.2)","0.05","0.83"
"G440287","0.12","1.1 (0.62-2.1)","0.16","0.69"
"G26236","-0.23","0.8 (0.55-1.1)","1.5","0.23"
"G2683","0.18","1.2 (0.75-1.9)","0.59","0.44"
"G23185","-0.15","0.86 (0.45-1.6)","0.2","0.65"
"G6827","-0.21","0.81 (0.42-1.6)","0.39","0.53"
"G57621","0.39","1.5 (0.93-2.4)","2.8","0.094"
"G154091","0.15","1.2 (0.88-1.5)","1.1","0.3"
"G221476","0.12","1.1 (0.93-1.4)","1.5","0.22"
"G390059","0.47","1.6 (0.67-3.8)","1.1","0.29"
"G5293","-0.043","0.96 (0.69-1.3)","0.07","0.8"
"G645963","-0.045","0.96 (0.74-1.2)","0.12","0.73"
"G129138","0.21","1.2 (0.72-2.1)","0.57","0.45"
"G653575","-0.27","0.76 (0.29-2)","0.31","0.58"
"G3562","0.97","2.6 (1.3-5.2)","7.8","0.0051"
"G441098","-0.3","0.74 (0.27-2.1)","0.33","0.57"
"G57473","-0.08","0.92 (0.66-1.3)","0.23","0.63"
"G651062","-0.38","0.68 (0.29-1.6)","0.78","0.38"
"G57459","-0.23","0.79 (0.48-1.3)","0.83","0.36"
"G2322","-0.43","0.65 (0.37-1.1)","2.3","0.13"
"G130026","0.1","1.1 (0.79-1.5)","0.35","0.55"
"G284345","-0.18","0.84 (0.46-1.5)","0.34","0.56"
"G649509","-0.31","0.73 (0.35-1.6)","0.66","0.42"
"G56130","0.22","1.2 (0.48-3.2)","0.21","0.65"
"G125963","0.36","1.4 (0.53-3.9)","0.5","0.48"
"G865","0.1","1.1 (0.46-2.7)","0.05","0.82"
"G8905","0.028","1 (0.67-1.6)","0.02","0.9"
"G339168","-0.32","0.73 (0.22-2.4)","0.28","0.6"
"G79295","-0.62","0.54 (0.19-1.5)","1.4","0.24"
"G50854","-0.31","0.73 (0.34-1.6)","0.62","0.43"
"G4248","-0.22","0.8 (0.29-2.2)","0.18","0.67"
"G126364","-0.19","0.83 (0.53-1.3)","0.71","0.4"
"G3306","0.11","1.1 (0.87-1.4)","0.71","0.4"
"G51397","0.18","1.2 (0.8-1.8)","0.74","0.39"
"G55186","-0.28","0.76 (0.58-0.99)","4.1","0.043"
"G643319","0.11","1.1 (0.82-1.5)","0.46","0.5"
"G10018","-0.56","0.57 (0.27-1.2)","2.1","0.14"
"G641705","-0.036","0.96 (0.73-1.3)","0.07","0.8"
"G140612","0.11","1.1 (0.64-1.9)","0.16","0.69"
"G1359","-0.0053","0.99 (0.83-1.2)","0","0.95"
"G647336","-0.32","0.73 (0.31-1.7)","0.54","0.46"
"G404734","-0.2","0.81 (0.55-1.2)","1","0.31"
"G3846","0.46","1.6 (0.72-3.5)","1.3","0.25"
"G7012","0.041","1 (0.75-1.4)","0.06","0.81"
"G57661","-0.0024","1 (0.68-1.5)","0","0.99"
"G401895","-0.3","0.74 (0.37-1.5)","0.69","0.41"
"G7675","0.44","1.5 (0.94-2.6)","2.9","0.088"
"G651386","-0.088","0.92 (0.29-2.9)","0.02","0.88"
"G2717","-0.25","0.78 (0.45-1.3)","0.85","0.36"
"G3169","-0.068","0.93 (0.74-1.2)","0.33","0.57"
"G27304","-0.026","0.97 (0.61-1.5)","0.01","0.91"
"G9088","0.016","1 (0.71-1.5)","0.01","0.93"
"G642008","0.33","1.4 (0.59-3.3)","0.57","0.45"
"G1004","0.29","1.3 (0.71-2.5)","0.79","0.37"
"G137814","-0.54","0.58 (0.23-1.5)","1.3","0.26"
"G390155","0.9","2.4 (0.65-9.3)","1.7","0.19"
"G283650","-0.19","0.83 (0.31-2.2)","0.15","0.7"
"G27190","0.48","1.6 (0.62-4.2)","0.96","0.33"
"G3329","0.25","1.3 (0.48-3.4)","0.26","0.61"
"G116068","-0.13","0.88 (0.31-2.5)","0.06","0.81"
"G7483","0.22","1.2 (0.53-2.9)","0.24","0.62"
"G671","0.45","1.6 (0.66-3.7)","1","0.31"
"G643475","0.49","1.6 (0.83-3.2)","2.1","0.15"
"G192137","-0.51","0.6 (0.29-1.2)","1.9","0.17"
"G169166","-0.1","0.9 (0.48-1.7)","0.1","0.76"
"G23527","0.1","1.1 (0.76-1.6)","0.28","0.6"
"G85378","0.27","1.3 (0.82-2.1)","1.3","0.26"
"G7084","-0.43","0.65 (0.35-1.2)","1.9","0.16"
"G653463","-0.12","0.89 (0.68-1.2)","0.72","0.4"
"G55863","0.19","1.2 (0.64-2.3)","0.33","0.56"
"G55167","-0.21","0.81 (0.44-1.5)","0.47","0.49"
"G390604","-0.13","0.88 (0.38-2)","0.1","0.75"
"G645458","-0.36","0.7 (0.22-2.2)","0.38","0.54"
"G2128","-0.32","0.73 (0.34-1.6)","0.64","0.42"
"G642265","-0.077","0.93 (0.32-2.7)","0.02","0.89"
"G131540","-0.24","0.78 (0.49-1.3)","1","0.31"
"G653904","-0.064","0.94 (0.5-1.7)","0.04","0.84"
"G4239","-0.059","0.94 (0.78-1.1)","0.38","0.54"
"G79657","-0.22","0.8 (0.41-1.6)","0.41","0.52"
"G8645","-0.2","0.82 (0.63-1.1)","2.2","0.13"
"G347918","-0.54","0.58 (0.21-1.6)","1.1","0.3"
